,Simulation,Inhibitory LFP included?,External input rate,g_in/g_ex ratio,Hurst exponent from BOLD signal
0,Sim4,True,1.5,13.409410112357872,1.508890889144402
1,Sim4,True,1.5,9.3792595321504,1.5021817534198412
2,Sim4,True,1.5,6.333595920236343,1.4836904976548175
3,Sim4,True,1.5,4.032905296950241,1.1303601840956357
0,Sim4,True,2.0,13.409410112357872,1.6218428965257676
1,Sim4,True,2.0,9.3792595321504,1.5019578207762845
2,Sim4,True,2.0,6.333595920236343,1.4323016556369241
3,Sim4,True,2.0,4.032905296950241,1.5068489888078092
0,merged_files_sim1_sim2,True,2.0,13.409410112357872,1.4037835100305354
1,merged_files_sim1_sim2,True,2.0,9.3792595321504,1.349326350994799
2,merged_files_sim1_sim2,True,2.0,6.333595920236343,1.1650935813239456
0,merged_files_Sim1_Sim3,True,2.0,13.409410112357872,1.3749983531136198
1,merged_files_Sim1_Sim3,True,2.0,9.3792595321504,1.2230810576506916
2,merged_files_Sim1_Sim3,True,2.0,6.333595920236343,1.114834344867294
0,merged_files_Sim2_Sim3,True,2.0,13.409410112357872,1.2077255792396318
1,merged_files_Sim2_Sim3,True,2.0,9.3792595321504,1.1704057666405825
2,merged_files_Sim2_Sim3,True,2.0,6.333595920236343,1.1465930718696895
0,merged_files_SimA_SimB,False,2.0,13.409410112357872,1.452271355715462
1,merged_files_SimA_SimB,False,2.0,9.3792595321504,1.2779403934790203
2,merged_files_SimA_SimB,False,2.0,6.333595920236343,1.3391134802928968
0,merged_files_SimA_SimB,False,2.0,13.409410112357872,1.452271355715462
1,merged_files_SimA_SimB,False,2.0,9.3792595321504,1.2779403934790203
2,merged_files_SimA_SimB,False,2.0,6.333595920236343,1.3391134802928968
0,merged_files_SimA_Sim2,False,2.0,13.409410112357872,1.4834063681012541
1,merged_files_SimA_Sim2,False,2.0,9.3792595321504,1.306089765476476
2,merged_files_SimA_Sim2,False,2.0,6.333595920236343,1.3152860910906612
0,merged_files_SimA_SimB,False,1.5,13.409410112357872,1.537962628889375
1,merged_files_SimA_SimB,False,1.5,9.3792595321504,1.44286149223551
2,merged_files_SimA_SimB,False,1.5,6.333595920236343,1.35025133852392
0,merged_files_SimA_SimB,False,2.0,13.409410112357872,1.4404550680643038
1,merged_files_SimA_SimB,False,2.0,9.3792595321504,1.3599362302480174
2,merged_files_SimA_SimB,False,2.0,6.333595920236343,1.195685196785289
0,merged_files_SimA_SimB,False,1.5,13.409410112357872,1.5306368746972343
1,merged_files_SimA_SimB,False,1.5,9.3792595321504,1.4727521277908568
2,merged_files_SimA_SimB,False,1.5,6.333595920236343,1.2929671553730895
0,merged_files_SimA_SimB,False,2.0,13.409410112357872,1.4809555811915498
1,merged_files_SimA_SimB,False,2.0,9.3792595321504,1.1611290750641463
2,merged_files_SimA_SimB,False,2.0,6.333595920236343,1.2112900640905009
